duration,protocol_type,src_bytes,dst_bytes,count,srv_count,same_srv_rate,diff_srv_rate,serror_rate,rerror_rate,num_failed_logins,logged_in,wrong_fragment,urgent,hot,label,severity,timestamp,src_ip,dst_ip
0.0,tcp,696.7720642218457,863.7017490394157,18.416942763547738,0.0,0.93,0.071,0.204,0.034,0,0,0,0,0,BENIGN,normal,2026-08-15 05:25:11.459831,152.9.135.53,124.221.79.6
0.6777486221362654,udp,427.7111966090092,987.52479282824,0.0,0.0,0.728,0.177,0.0,0.032,0,0,0,0,1,BruteForce,suspicious,2026-08-15 08:24:38.459831,113.221.19.117,244.234.38.232
0.0,tcp,308.2686733131838,750.6328457570329,1.4661592698327999,0.0,0.896,0.115,0.03,0.111,0,1,0,0,0,BENIGN,normal,2026-08-15 06:18:28.459831,142.73.57.134,78.44.164.19
0.9030377993244567,tcp,402.54970969919543,878.8284803905012,30.636381230045533,0.0,0.724,0.129,0.124,0.045,0,0,0,0,0,BENIGN,normal,2026-08-13 17:38:30.459831,184.22.214.143,57.111.228.72
0.0,tcp,474.9386206259355,608.7763678580723,0.0,0.0,0.991,0.129,0.0,0.0,0,0,0,0,0,BENIGN,normal,2026-08-15 06:07:10.459831,80.252.3.198,52.134.123.189
0.0,tcp,62.46749606871013,105.6411624964664,442.98155910636405,435.02186386515893,1.0,0.092,0.711,0.076,0,0,0,0,0,DDoS,critical,2026-08-13 14:10:33.459831,236.19.186.110,119.188.60.42
1.5740282822239033,udp,517.0782705191712,333.52844051564074,0.0,0.806301099236117,0.953,0.164,0.005,0.0,0,1,0,0,0,BENIGN,normal,2026-08-15 04:44:02.459831,47.246.7.141,42.78.21.183
2.0700793498287307,tcp,663.3702888620853,855.8559197432093,14.070544153427642,25.721169131478973,0.879,0.07,0.0,0.0,0,1,0,0,0,BENIGN,normal,2026-08-14 19:04:45.459831,54.59.47.195,169.2.195.1
1.9541615918372708,tcp,254.53561250608988,752.0748978628151,0.0,0.0,0.661,0.223,0.0,0.127,1,1,0,0,0,BENIGN,normal,2026-08-14 03:15:09.459831,239.190.252.17,170.24.2.54
1.469698018623185,tcp,438.7707033111675,858.2818575208023,8.478564406460906,0.0,0.956,0.204,0.069,0.098,0,0,0,0,0,BENIGN,normal,2026-08-14 22:07:38.459831,87.245.132.245,139.103.174.102
0.0,tcp,39.18818661008494,13.363387265834579,158.55875495312947,133.22102683931865,0.234,0.905,0.605,0.725,0,0,0,0,0,PortScan,suspicious,2026-08-13 22:43:04.459831,220.221.199.223,41.206.14.187
